T,Delta,pO2
352.13699,-1.06E-04,0.208
352.202,-1.03E-04,0.208
352.27499,-1.55E-04,0.208
352.33301,-1.32E-04,0.208
352.401,-1.20E-04,0.208
352.46399,-1.29E-04,0.208
352.534,-1.02E-04,0.208
352.60501,-1.29E-04,0.208
352.66699,-1.44E-04,0.208
352.73199,-1.11E-04,0.208
352.798,-1.29E-04,0.208
352.86499,-1.50E-04,0.208
352.93201,-1.29E-04,0.208
352.99899,-1.28E-04,0.208
353.07101,-1.37E-04,0.208
353.138,-1.31E-04,0.208
353.202,-1.37E-04,0.208
353.26901,-1.22E-04,0.208
353.345,-1.43E-04,0.208
353.41101,-1.39E-04,0.208
353.474,-1.38E-04,0.208
353.547,-1.17E-04,0.208
353.60501,-1.25E-04,0.208
353.681,-1.24E-04,0.208
353.741,-1.13E-04,0.208
353.80801,-1.18E-04,0.208
353.875,-1.15E-04,0.208
353.939,-1.14E-04,0.208
354.01099,-1.51E-04,0.208
354.07599,-1.41E-04,0.208
354.13101,-1.32E-04,0.208
354.20801,-1.63E-04,0.208
354.27802,-1.41E-04,0.208
354.34799,-1.46E-04,0.208
354.414,-1.71E-04,0.208
354.474,-1.39E-04,0.208
354.54099,-1.29E-04,0.208
354.61301,-1.15E-04,0.208
354.681,-1.34E-04,0.208
354.755,-1.28E-04,0.208
354.82001,-1.21E-04,0.208
354.88199,-1.08E-04,0.208
354.948,-1.08E-04,0.208
355.01199,-1.20E-04,0.208
355.086,-1.27E-04,0.208
355.147,-1.22E-04,0.208
355.21201,-1.25E-04,0.208
355.28299,-1.37E-04,0.208
355.353,-1.48E-04,0.208
355.40799,-1.63E-04,0.208
355.48099,-1.46E-04,0.208
355.54599,-1.41E-04,0.208
355.61301,-1.57E-04,0.208
355.689,-1.27E-04,0.208
355.74701,-1.32E-04,0.208
355.82001,-1.60E-04,0.208
355.88599,-1.03E-04,0.208
355.948,-1.45E-04,0.208
356.01999,-1.58E-04,0.208
356.08499,-1.08E-04,0.208
356.15399,-1.10E-04,0.208
356.211,-1.14E-04,0.208
356.28,-1.11E-04,0.208
356.33801,-1.30E-04,0.208
356.41101,-1.35E-04,0.208
356.47299,-1.53E-04,0.208
356.54901,-1.55E-04,0.208
356.62201,-1.02E-04,0.208
356.685,-1.29E-04,0.208
356.74701,-1.69E-04,0.208
356.811,-1.44E-04,0.208
356.88699,-1.39E-04,0.208
356.952,-1.41E-04,0.208
